url,color,font
sulamericadiretocampinas.com.br,,
wsodonto.sulamerica.com.br,,
www.sulamericaauto.com.br,,
ri.sulamerica.com.br,,
coronavirus.sulamerica.com.br,,
corretor.sulamericaseguros.com.br,,
portal.sulamericaauto.com.br,,
portal.sulamericaseguros.com.br,,
portal2.sulamericaseguros.com.br,,
saude.sulamericaseguros.com.br,,
www.sulamerica.com.br,,
sulamerica.in,,
atendimentocliente.sulamerica.com.br,,
www.acesso-odonto.sulamerica.com.br,,
sulamericaparadiso.com.br,,
sulamericasaudesa.com.br,,
atendimentocliente.sulamerica.co,"[[0.601111114025116, '#050505'], [0.2433333396911621, '#fcfcfc'], [0.02527777850627899, '#535353'], [0.029999999329447746, '#686868'], [0.05416666716337204, '#c5c5c5'], [0.02527777850627899, '#9e9e9e'], [0.02083333395421505, '#3c3c3c']]",Avenue
coronavirus.sulamerica.co,"[[0.02166317217051983, '#f46e17'], [0.022361984476447105, '#d0521e'], [0.009783368557691574, '#f58237'], [0.15723270177841187, '#06276e'], [0.022012578323483467, '#5a719f'], [0.5873515009880066, '#fefcfb'], [0.011530398391187191, '#f4af87'], [0.004891684278845787, '#001462'], [0.012229210697114468, '#6b7fa9'], [0.039133474230766296, '#8091b5']]",Avenue
corretor.sulamericaseguros.co,"[[0.07014590501785278, '#faefd4'], [0.04601571336388588, '#ecb6a2'], [0.0005611672531813383, '#907f63'], [0.020202020183205605, '#cc917a'], [0.08024691045284271, '#f9f2ed'], [0.021885521709918976, '#e18c82'], [0.040965206921100616, '#dc7c5f'], [0.007295174058526754, '#cc8c66'], [0.011223344132304192, '#edbbbe'], [0.006734006572514772, '#faa89c']]",Avenue
